WE(1).Potential (V),WE(1).Current (A),Corrected time (s)
3.255004883,-2.698516846,1881.999995
3.254699707,-2.698516846,1882.199995
3.254699707,-2.698516846,1882.399995
3.254699707,-2.698791504,1882.599995
3.254699707,-2.69934082,1882.799995
3.254699707,-2.698516846,1882.999995
3.254394531,-2.69934082,1883.199995
3.254394531,-2.699066162,1883.399995
3.254394531,-2.699066162,1883.599995
3.254394531,-2.698791504,1883.799995
3.254394531,-2.699066162,1883.999995
3.254394531,-2.70098877,1884.199995
3.254089355,-2.699066162,1884.399995
3.254089355,-2.69934082,1884.599995
3.254089355,-2.699066162,1884.799995
3.254089355,-2.698791504,1884.999995
3.254089355,-2.699066162,1885.199995
3.25378418,-2.699066162,1885.399995
3.25378418,-2.698791504,1885.599995
3.25378418,-2.698791504,1885.799995
3.25378418,-2.698516846,1885.999995
3.25378418,-2.698516846,1886.199995
3.25378418,-2.697967529,1886.399995
3.253479004,-2.699066162,1886.599995
3.253479004,-2.698791504,1886.799995
3.253479004,-2.698791504,1886.999995
3.253479004,-2.699066162,1887.199995
3.253479004,-2.699066162,1887.399995
3.253173828,-2.698791504,1887.599995
3.253173828,-2.698516846,1887.799995
3.253173828,-2.699066162,1887.999995
3.253173828,-2.698516846,1888.199995
3.253173828,-2.699066162,1888.399995
3.253173828,-2.698791504,1888.599995
3.252868652,-2.698242188,1888.799995
3.252868652,-2.698516846,1888.999995
3.252868652,-2.69934082,1889.199995
3.252868652,-2.695770264,1889.399995
3.252868652,-2.699066162,1889.599995
3.252563477,-2.698791504,1889.799995
3.252563477,-2.69934082,1889.999995
3.252563477,-2.699066162,1890.199995
3.252563477,-2.698791504,1890.399995
3.252563477,-2.698791504,1890.599995
3.252563477,-2.698516846,1890.799995
3.252258301,-2.698791504,1890.999995
3.252258301,-2.699066162,1891.199995
3.252258301,-2.698791504,1891.399995
3.252258301,-2.698791504,1891.599995
3.252258301,-2.699066162,1891.799995
3.251953125,-2.697967529,1891.999995
3.251953125,-2.699066162,1892.199995
3.251953125,-2.69934082,1892.399995
3.251953125,-2.699066162,1892.599995
3.251953125,-2.699066162,1892.799995
3.251647949,-2.699066162,1892.999995
3.251647949,-2.698791504,1893.199995
3.251647949,-2.699066162,1893.399995
3.251647949,-2.699066162,1893.599995
3.251647949,-2.699066162,1893.799995
3.251647949,-2.698791504,1893.999995
3.251342773,-2.699066162,1894.199995
3.251342773,-2.698516846,1894.399995
3.251342773,-2.705657959,1894.599995
3.251342773,-2.698516846,1894.799995
3.251342773,-2.699615479,1894.999995
3.251037598,-2.699066162,1895.199995
3.251037598,-2.698516846,1895.399995
3.251037598,-2.698791504,1895.599995
3.251037598,-2.698791504,1895.799995
3.251037598,-2.69934082,1895.999995
3.250732422,-2.699066162,1896.199995
3.250732422,-2.69934082,1896.399995
3.250732422,-2.699066162,1896.599995
3.250732422,-2.698791504,1896.799995
3.250732422,-2.699066162,1896.999995
3.250732422,-2.698791504,1897.199995
3.250427246,-2.699066162,1897.399995
3.250427246,-2.699066162,1897.599995
3.250427246,-2.698791504,1897.799995
3.250427246,-2.699615479,1897.999995
3.250427246,-2.699066162,1898.199995
3.25012207,-2.69934082,1898.399995
3.25012207,-2.698791504,1898.599995
3.25012207,-2.699615479,1898.799995
3.25012207,-2.699066162,1898.999995
3.25012207,-2.699066162,1899.199995
3.25012207,-2.699066162,1899.399995
3.249816895,-2.699066162,1899.599995
3.249816895,-2.698516846,1899.799995
3.249816895,-2.698516846,1899.999995
3.249816895,-2.699066162,1900.199995
3.249816895,-2.698791504,1900.399995
3.249511719,-2.698791504,1900.599995
3.249511719,-2.699066162,1900.799995
3.249511719,-2.699066162,1900.999995
3.249511719,-2.698791504,1901.199995
3.249511719,-2.699066162,1901.399995
3.249206543,-2.699066162,1901.599995
3.249206543,-2.699066162,1901.799995
3.249206543,-2.698791504,1901.999995
3.249206543,-2.699066162,1902.199995
3.249206543,-2.699615479,1902.399995
3.249206543,-2.698516846,1902.599995
3.248901367,-2.699066162,1902.799995
3.248901367,-2.698516846,1902.999995
3.248901367,-2.698791504,1903.199995
